334 : False	2	0.500	0.667	0.417
18 : False	6	0.667	0.312	0.510
23 : True	3	0.667	0.286	0.524
5 : True	27	0.407	1.000	0.296
38 : False	2	0.000	0.022	0.989
8 : False	7	0.286	1.000	0.357
61 : False	1	1.000	0.500	0.250
68 : False	1	1.000	0.500	0.250
69 : False	2	0.500	0.500	0.500
75 : False	2	0.000	0.200	0.900
74 : True	9	0.333	1.000	0.333
22 : False	1	1.000	0.400	0.300
17 : False	1	1.000	0.250	0.375
25 : False	2	0.500	0.750	0.375
138 : False	4	0.500	0.250	0.625
144 : False	1	0.000	0.750	0.625
108 : False	2	1.000	0.400	0.300
159 : True	7	0.429	1.000	0.286
71 : True	3	0.667	1.000	0.167
132 : False	1	0.000	0.250	0.875
174 : False	3	0.333	0.200	0.733
183 : True	25	0.280	1.000	0.360
187 : True	2	1.000	1.000	0.000
191 : False	1	1.000	0.250	0.375
128 : False	2	0.000	0.400	0.800
196 : True	7	0.429	1.000	0.286
199 : True	3	0.667	0.600	0.367
1356 : False	8	0.375	0.333	0.646
229 : False	3	0.333	0.800	0.433
220 : False	1	1.000	0.034	0.483
3807 : False	3	0.333	0.286	0.690
170 : False	1	0.000	0.207	0.897
223 : True	5	0.800	1.000	0.100
219 : False	1	0.000	0.200	0.900
253 : True	10	0.300	0.800	0.450
266 : False	2	0.500	0.600	0.450
59 : False	1	0.000	0.400	0.800
319 : False	2	1.000	0.286	0.357
327 : False	1	1.000	0.045	0.477
279 : True	4	0.250	0.750	0.500
339 : False	7	0.286	0.667	0.524
352 : False	2	1.000	0.400	0.300
401 : False	2	1.000	0.429	0.286
442 : True	7	0.286	1.000	0.357
438 : False	1	0.000	0.400	0.800
449 : False	2	0.500	0.571	0.464
495 : False	4	0.500	1.000	0.250
485 : False	1	0.000	0.500	0.750
511 : True	13	0.385	0.250	0.683
364 : False	6	0.333	0.647	0.510
455 : False	1	0.000	0.250	0.875
530 : False	1	1.000	0.286	0.357
559 : False	1	0.000	0.300	0.850
561 : False	1	1.000	0.400	0.300
582 : False	2	0.500	0.500	0.500
603 : True	7	0.571	1.000	0.214
609 : False	1	0.000	0.250	0.875
601 : True	3	0.667	0.750	0.292
588 : False	3	0.667	0.200	0.567
660 : False	1	0.000	0.200	0.900
666 : False	3	0.667	0.400	0.467
667 : False	1	1.000	0.200	0.400
573 : False	1	1.000	0.200	0.400
521 : True	4	0.500	1.000	0.250
684 : False	1	1.000	0.250	0.375
10229 : False	1	0.000	0.200	0.900
795 : True	21	0.476	0.889	0.317
805 : False	3	0.667	0.714	0.310
830 : False	1	0.000	0.400	0.800
840 : False	5	0.600	0.500	0.450
862 : True	5	0.600	0.286	0.557
869 : False	1	1.000	0.059	0.471
881 : True	7	0.286	0.286	0.714
887 : True	9	0.333	1.000	0.333
890 : False	2	0.500	0.200	0.650
110 : False	3	0.333	0.200	0.733
919 : True	20	0.250	0.857	0.446
961 : False	3	0.333	0.500	0.583
937 : False	3	0.667	0.045	0.644
956 : False	3	0.667	0.250	0.542
977 : False	2	1.000	0.000	0.500
930 : True	31	0.194	0.800	0.503
1011 : False	1	1.000	0.045	0.477
1036 : True	5	0.600	1.000	0.200
1026 : False	1	0.000	0.000	1.000
1043 : False	1	1.000	0.143	0.429
1049 : False	1	1.000	0.059	0.471
976 : False	1	0.000	0.067	0.967
1076 : False	2	0.000	0.200	0.900
528 : False	1	0.000	0.200	0.900
1080 : True	5	0.400	0.500	0.550
966 : False	1	1.000	0.300	0.350
1084 : True	8	0.375	0.700	0.463
705 : False	1	0.000	0.250	0.875
428 : True	2	1.000	0.200	0.400
861 : False	3	0.333	0.059	0.804
1091 : False	1	1.000	0.200	0.400
1090 : False	1	1.000	0.062	0.469
1094 : False	3	0.333	0.030	0.818
1105 : False	1	0.000	0.200	0.900
1098 : False	5	0.400	0.400	0.600
338 : False	1	0.000	0.016	0.992
1106 : True	11	0.273	0.250	0.739
1107 : True	6	0.500	0.667	0.417
1117 : False	2	1.000	0.250	0.375
1112 : False	1	1.000	0.045	0.477
1118 : False	3	0.333	0.200	0.733
1119 : False	6	0.333	0.500	0.583
431 : False	1	1.000	0.045	0.477
1122 : True	5	0.400	1.000	0.300
443 : False	2	0.500	0.200	0.650
1124 : True	12	0.250	1.000	0.375
1088 : False	2	1.000	0.250	0.375
18462 : False	1	1.000	0.200	0.400
1133 : False	5	0.400	0.000	0.800
1134 : True	3	0.667	0.200	0.567
1135 : True	5	0.400	0.250	0.675
1137 : False	4	0.250	0.062	0.844
1146 : True	4	0.500	0.200	0.650
1150 : True	6	0.667	0.222	0.556
263 : False	1	1.000	0.250	0.375
743 : False	2	1.000	0.200	0.400
1167 : False	1	1.000	0.200	0.400
1114 : True	3	0.667	0.400	0.467
307 : False	1	0.000	0.200	0.900
1185 : False	1	1.000	0.045	0.477
1126 : False	1	1.000	0.200	0.400
1154 : False	3	0.667	0.235	0.549
1197 : False	1	0.000	0.000	1.000
722 : False	1	1.000	0.200	0.400
1201 : False	1	0.000	0.022	0.989
1195 : False	3	0.667	0.000	0.667
414 : False	3	0.333	0.250	0.708
386 : False	1	1.000	0.200	0.400
1025 : False	1	1.000	0.023	0.489
1208 : False	1	1.000	0.062	0.469
1210 : True	3	0.667	0.400	0.467
1212 : False	2	0.500	0.015	0.743
1216 : True	3	0.667	0.800	0.267
1215 : False	3	0.333	0.143	0.762
1219 : False	1	0.000	0.143	0.929
